Epoch,Train_Loss,Train_Accuracy,Valid_Accuracy
0,3111.2023572921753,15.74,20.68
1,2742.8695038557053,25.904444444444444,30.44
2,2500.7094898223877,32.83111111111111,37.66
3,2333.7546100616455,38.193333333333335,43.18
4,2195.574343442917,42.82222222222222,47.38
5,2047.1161912679672,47.13333333333333,52.839999999999996
6,1922.10684633255,50.92888888888889,53.44
7,1808.0443447232246,53.96888888888889,56.18
8,1714.0412485599518,56.51777777777778,60.0
9,1620.5455548167229,59.2,62.68
10,1538.7003301978111,61.26,64.1
11,1474.1068341732025,62.86666666666667,65.64
12,1411.1183616816998,64.57777777777778,66.74
13,1354.0459442138672,66.25111111111111,67.4
14,1294.2339439094067,67.84222222222222,67.46
15,1262.0971075892448,68.84222222222222,71.17999999999999
16,1204.6913101375103,70.11777777777777,72.06
17,1163.35133934021,71.22888888888889,68.8
18,1124.8562177717686,72.27111111111111,73.44000000000001
19,1082.4206889867783,73.14666666666666,73.02
20,1046.3512248396873,74.21555555555555,74.52
21,1012.4175712764263,75.00888888888889,74.74
22,975.9436816573143,75.94888888888889,75.76
23,951.97928160429,76.58222222222223,75.48
24,920.7824864238501,77.41111111111111,75.86
25,894.5137571394444,77.83777777777777,76.28
26,864.2488461136818,78.78888888888889,75.88000000000001
27,836.4224784821272,79.46666666666667,77.0
28,812.1034473627806,79.9088888888889,77.44
29,786.7018968909979,80.65333333333334,78.12
30,765.0835243612528,81.24222222222222,76.94
31,744.9629104882479,81.61777777777777,77.64
32,724.7081454247236,82.27555555555556,78.78
33,701.994656085968,82.60444444444444,79.2
34,688.1236682832241,83.08444444444444,78.68
35,668.1871327161789,83.61777777777777,76.42
36,649.5210586488247,84.31777777777778,79.17999999999999
37,630.7999805808067,84.66222222222223,78.16
38,609.5762426033616,85.16222222222223,78.96
39,595.7527211606503,85.41555555555556,78.24
40,581.4366717562079,86.02666666666667,79.64
41,566.6335688382387,86.24222222222222,79.66
42,554.5081644654274,86.57111111111111,79.72
43,530.1364521458745,87.14666666666666,80.92
44,521.8814452216029,87.44666666666667,80.64
45,510.53820453584194,87.67777777777778,80.04
46,497.2318155989051,88.03333333333333,78.53999999999999
47,488.31638837605715,88.16,80.78
48,459.20572151988745,88.77555555555556,80.56
49,460.7911852672696,88.93555555555555,80.28
