Epoch,Train_Loss,Train_Accuracy,Valid_Accuracy
0,5097.971521,32.02222288,48.99999797
1,3396.914288,56.81555867,67.69999862
2,2516.398975,69.20222044,75.37999749
3,2015.346515,75.37111044,79.97999787
4,1696.983699,79.46888804,82.9400003
5,1466.987937,82.13778138,84.53999758
6,1273.484141,84.61778164,82.85999894
7,1117.16192,86.55333519,85.42000055
8,1001.221729,87.79555559,86.51999831
9,908.739429,88.98222446,86.39999628
10,801.1537223,90.15777707,86.53999567
11,711.6316419,91.32000208,87.18000054
12,658.0414105,91.97333455,88.09999824
13,581.114306,92.84222126,87.51999736
14,525.8162904,93.446666,86.93999648
15,478.4787013,94.053334,88.53999972
16,433.4206976,94.63111162,88.17999959
17,401.1205752,94.91555691,87.69999743
18,370.8146253,95.40444613,87.86000013
19,334.1002115,95.8355546,87.99999952
20,305.5874259,96.25777602,88.55999708
21,287.3127982,96.36222124,86.73999906
22,268.467143,96.71555758,87.5
23,247.7974916,96.8977809,88.73999715
24,225.7738967,97.30222225,88.13999891
25,216.7836784,97.35110998,89.01999593
26,207.7522482,97.48222232,89.1200006
27,192.3618877,97.684443,89.47999477
28,167.2886179,97.93333411,88.15999627
29,188.5726773,97.59555459,88.85999918
30,171.9658507,97.9177773,89.30000067
31,146.2435097,98.20444584,89.03999925
32,150.1719521,98.18444848,88.89999986
33,145.6324629,98.20889235,89.30000067
34,131.4426431,98.40666652,89.67999816
35,122.9899116,98.49111438,89.09999728
36,134.103163,98.33333492,88.95999789
37,124.3900632,98.52222204,89.47999477
38,109.0336142,98.684448,88.91999722
39,94.52171338,98.8533318,89.41999674
40,105.6749659,98.66444468,88.91999722
41,79.22874157,99.05333519,89.1200006
42,88.41958825,98.96888733,89.37999606
43,80.12175777,99.04000163,89.59999681
44,76.80220902,99.0644455,89.45999742
45,87.44411418,98.96222353,89.1200006
46,77.41704028,99.09111261,89.39999938
47,81.22933567,99.01555777,89.30000067
48,87.19480176,98.92666936,89.53999877
49,76.09508493,99.07333255,89.33999538
50,80.72182534,99.02666807,89.21999931
51,68.93929412,99.14000034,90.19999504
52,63.31596198,99.19111133,89.41999674
53,63.81340947,99.27555919,89.45999742
54,73.0727824,99.09777641,89.1200006
55,59.62633299,99.27333593,89.13999796
56,65.81792271,99.22222495,88.19999695
57,54.55241347,99.35555458,89.19999599
58,43.53571793,99.48889017,89.33999538
59,54.06081068,99.36000109,90.53999782
60,53.48324769,99.37999845,89.91999626
61,53.27875528,99.34889078,89.73999619
62,56.2775784,99.34222102,90.09999633
63,50.80622447,99.40666556,89.55999613
64,53.42650298,99.31777716,89.77999687
65,45.24450899,99.44222569,89.80000019
66,59.92310541,99.30000305,89.63999748
67,45.9924122,99.43555593,90.52000046
68,32.74621404,99.63111281,89.98000026
69,40.33753003,99.5200038,89.65999484
70,42.26433346,99.48666692,89.39999938
71,43.50113033,99.47333336,89.47999477
72,59.22002716,99.28444624,90.01999497
73,36.42687075,99.56889153,90.13999701
74,33.526321,99.6044457,89.83999491
75,38.44702321,99.52444434,89.55999613
76,39.62945906,99.51778054,89.21999931
77,41.22815259,99.50667024,89.59999681
78,37.15320509,99.56444502,89.99999762
79,40.62593998,99.48444366,89.91999626
80,45.53189385,99.47111011,89.41999674
81,41.30342935,99.50444698,89.65999484
82,36.08779042,99.56666827,90.05999565
83,41.35357235,99.49777722,89.30000067
84,41.70941936,99.50888753,89.77999687
85,35.55341287,99.6088922,89.45999742
86,26.98344445,99.66444373,90.03999829
87,31.1112366,99.63555932,89.30000067
88,47.60682692,99.45111275,90.03999829
89,32.36199172,99.59111214,89.91999626
90,36.73140698,99.58444834,89.85999823
91,31.73337115,99.6044457,90.52000046
92,30.52847091,99.63777661,90.29999971
93,29.94568053,99.63555932,89.81999755
94,25.02608848,99.72666502,89.83999491
95,27.77768466,99.70000386,90.01999497
96,23.44866983,99.73778129,90.37999511
97,34.30606574,99.59555864,90.05999565
98,29.83291698,99.67111349,90.03999829
99,23.61072253,99.72444773,89.98000026
